nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
250,250,13,0,0.05,0,149,101,0,0,13,4.864066567582389E-4,4.70799976028502E-4,4.17351061568763E-5
250,250,25,0,0.1,0,176,74,0,0,25,6.373566691763699E-4,6.117000011727214E-4,7.648494735155017E-5
250,250,38,0,0.15,0,198,52,0,0,38,7.807299921599527E-4,7.658000104129314E-4,5.0656878987996725E-5
250,250,50,0,0.2,0,219,31,0,0,50,9.571666712872684E-4,9.335000067949295E-4,6.683989900846719E-5
500,500,25,0,0.05,0,308,192,0,0,25,0.0010427066590636969,0.0010343999601900578,2.8218192486623916E-5
500,500,50,0,0.1,0,337,163,0,0,50,0.0014983766557027896,0.0014953999780118465,1.5573575284243533E-5
500,500,75,0,0.15,0,381,119,0,0,75,0.002081273329289009,0.002077499986626208,2.881623766642428E-5
500,500,100,0,0.2,0,420,80,0,0,100,0.002743789992139985,0.0027274000458419323,4.723023559711371E-5
750,750,38,0,0.05,0,447,303,0,0,38,0.0017912899997706215,0.001768799964338541,6.017939352147138E-5
750,750,75,0,0.1,0,536,214,0,0,75,0.002795139995093147,0.0027805999852716923,5.0306956172301834E-5
750,750,113,0,0.15,0,586,164,0,0,113,0.0040963933492700255,0.004077699966728687,7.963234760642112E-5
750,750,150,0,0.2,0,645,105,0,0,150,0.005620513340303054,0.005608899984508753,8.790388293523887E-5
1000,1000,50,0,0.05,0,584,416,0,0,50,0.004055143345613033,0.0037087000673636794,0.001286608723449388
1000,1000,100,0,0.1,0,700,300,0,0,100,0.005286113335750997,0.005095899919979274,4.265231571333386E-4
1000,1000,150,0,0.15,0,773,227,0,0,150,0.007225209994552036,0.007043199962936342,4.880909194725412E-4
1000,1000,200,0,0.2,0,844,156,0,0,200,0.009935270005371422,0.009926100028678775,1.5770131642235867E-4
1250,1250,63,0,0.05,0,765,485,0,0,63,0.0038110933382995427,0.0038020999636501074,9.331431083863891E-5
1250,1250,125,0,0.1,0,883,367,0,0,125,0.006834843331792702,0.006816099979914725,1.6528179743536536E-4
1250,1250,188,0,0.15,0,987,263,0,0,188,0.010754219993638495,0.010724899941124022,1.855302398011612E-4
1250,1250,250,0,0.2,0,1064,186,0,0,250,0.015360776664844403,0.015338599914684892,1.745171266320635E-4
1500,1500,75,0,0.05,0,878,622,0,0,75,0.004977430007420481,0.004955600015819073,6.453345047202044E-5
1500,1500,150,0,0.1,0,1061,439,0,0,150,0.009918209999644509,0.009556200006045401,0.0010486935517048813
1500,1500,225,0,0.15,0,1183,317,0,0,225,0.016797709992776313,0.015942399972118437,0.0029169467110303823
1500,1500,300,0,0.2,0,1294,206,0,0,300,0.02218046332709491,0.02211709995754063,3.288548444063277E-4
1750,1750,88,0,0.05,0,1035,715,0,0,88,0.006438166671432555,0.006413600058294833,1.2482010764565594E-4
1750,1750,175,0,0.1,0,1223,527,0,0,175,0.012617836667535206,0.012564799981191754,2.2010147638496368E-4
1750,1750,263,0,0.15,0,1384,366,0,0,263,0.021371853339951487,0.020716300001367927,0.0021982883519614926
1750,1750,350,0,0.2,0,1482,268,0,0,350,0.030131783320878944,0.029904199996963143,8.279443372988359E-4
2000,2000,100,0,0.05,0,1191,809,0,0,100,0.007977616647258401,0.00798890006262809,1.0922111052384527E-4
2000,2000,200,0,0.1,0,1398,602,0,0,200,0.01633434999966994,0.016205299994908273,3.50501428948202E-4
2000,2000,300,0,0.15,0,1574,426,0,0,300,0.02662028333870694,0.026475899969227612,8.76750169263336E-4
2000,2000,400,0,0.2,0,1703,297,0,0,400,0.038439383330599715,0.03841019992250949,4.222982628098991E-4
2250,2250,113,0,0.05,0,1359,891,0,0,113,0.009677796667286504,0.009655900066718459,1.6201260650441918E-4
2250,2250,225,0,0.1,0,1586,664,0,0,225,0.02003150332796698,0.020029300008900464,1.6866017900836946E-4
2250,2250,338,0,0.15,0,1758,492,0,0,338,0.033439813344739375,0.03332490008324385,4.1989789392107163E-4
2250,2250,450,0,0.2,0,1922,328,0,0,450,0.048777406678224604,0.048767899977974594,4.1804401465441837E-4
2500,2500,125,0,0.05,0,1514,986,0,0,125,0.011793193341388057,0.011660499963909388,3.5437341057323123E-4
2500,2500,250,0,0.1,0,1735,765,0,0,250,0.024317846664537988,0.024309500004164875,2.2220491814426463E-4
2500,2500,375,0,0.15,0,1966,534,0,0,375,0.0410517133345517,0.040935699944384396,5.241421214737403E-4
2500,2500,500,0,0.2,0,2121,379,0,0,500,0.06074978664595013,0.05997099995147437,0.002713344932086803
2750,2750,138,0,0.05,0,1642,1108,0,0,138,0.013601849988723795,0.013602199964225292,1.4595740438588567E-4
2750,2750,275,0,0.1,0,1922,828,0,0,275,0.029087949994330606,0.02896230004262179,5.065463786107215E-4
2750,2750,413,0,0.15,0,2177,573,0,0,413,0.048686136670100195,0.04866440000478178,2.944112984112384E-4
2750,2750,550,0,0.2,0,2314,436,0,0,550,0.0730121366524448,0.07278429996222258,9.060342191555725E-4
3000,3000,150,0,0.05,0,1797,1203,0,0,150,0.015636780004327496,0.01563069992698729,1.5189078670686449E-4
3000,3000,300,0,0.1,0,2075,925,0,0,300,0.034179466660134494,0.034089600085280836,4.0832434241034265E-4
3000,3000,450,0,0.15,0,2330,670,0,0,450,0.057540080009493975,0.057550800032913685,8.939750954994068E-4
3000,3000,600,0,0.2,0,2560,440,0,0,600,0.08687135333117718,0.08689050003886223,0.0012805616429298991
3250,3250,163,0,0.05,0,1961,1289,0,0,163,0.01801699000643566,0.017994900001212955,1.7425759388445128E-4
3250,3250,325,0,0.1,0,2271,979,0,0,325,0.03960746334244807,0.03964440000709146,2.6283432510364294E-4
3250,3250,488,0,0.15,0,2587,663,0,0,488,0.06759294331617033,0.0675753999967128,0.0010859676449450908
3250,3250,650,0,0.2,0,2798,452,0,0,650,0.10257077000957603,0.10216590005438775,0.0014404383710611218
3500,3500,175,0,0.05,0,2146,1354,0,0,175,0.020434410000840824,0.02047600003425032,1.5766877741022376E-4
3500,3500,350,0,0.1,0,2412,1088,0,0,350,0.045491553326913466,0.04551369999535382,2.4440470943589803E-4
3500,3500,525,0,0.15,0,2733,767,0,0,525,0.07802764998826509,0.07810309994965792,0.0010660376199914366
3500,3500,700,0,0.2,0,2992,508,0,0,700,0.11878913999535143,0.11855149990878999,0.0014070532311178145
3750,3750,188,0,0.05,0,2248,1502,0,0,188,0.023059810003420958,0.023036799975670874,1.332796632552029E-4
3750,3750,375,0,0.1,0,2602,1148,0,0,375,0.05199021000492697,0.05181060009635985,8.451480054980643E-4
3750,3750,563,0,0.15,0,2936,814,0,0,563,0.08981724334492659,0.08949939999729395,8.749838714884252E-4
3750,3750,750,0,0.2,0,3210,540,0,0,750,0.13749449000072975,0.13737630005925894,0.0014603222248017187
4000,4000,200,0,0.05,0,2397,1603,0,0,200,0.025901800006007156,0.02579909993801266,3.791580673240185E-4
4000,4000,400,0,0.1,0,2799,1201,0,0,400,0.058819853335929415,0.05874160001985729,4.095105660294257E-4
4000,4000,600,0,0.15,0,3124,876,0,0,600,0.1018325133404384,0.1019594999961555,0.0011526536409096726
4000,4000,800,0,0.2,0,3408,592,0,0,800,0.15841013665388648,0.15827350004110485,0.001618591869149585
4250,4250,213,0,0.05,0,2587,1663,0,0,213,0.028870399998656163,0.028838700032792985,2.830485248020846E-4
4250,4250,425,0,0.1,0,2947,1303,0,0,425,0.06569432000008722,0.06571589992381632,7.929593793713657E-4
4250,4250,638,0,0.15,0,3318,932,0,0,638,0.11613760000715653,0.11595720006152987,0.0012510192677513314
4250,4250,850,0,0.2,0,3607,643,0,0,850,0.18039515665732325,0.18024780007544905,0.0016578971606055189
4500,4500,225,0,0.05,0,2695,1805,0,0,225,0.03200787667495509,0.03197919996455312,2.9575516831690173E-4
4500,4500,450,0,0.1,0,3118,1382,0,0,450,0.07375470667999859,0.07379229995422065,7.992258971411929E-4
4500,4500,675,0,0.15,0,3508,992,0,0,675,0.13073559666906173,0.13053160009440035,7.953586232951504E-4
4500,4500,900,0,0.2,0,3834,666,0,0,900,0.20131405332746605,0.20163779996801168,0.0025114220005917937
4750,4750,238,0,0.05,0,2845,1905,0,0,238,0.035349450008167575,0.03533189999870956,3.1689047299906717E-4
4750,4750,475,0,0.1,0,3379,1371,0,0,475,0.08159794999907415,0.08158959995489568,4.654831186662913E-4
4750,4750,713,0,0.15,0,3757,993,0,0,713,0.14567352000546333,0.14597720000892878,0.0015898391485651493
4750,4750,950,0,0.2,0,4031,719,0,0,950,0.22694848333873477,0.22677519998978823,0.0021114912727048583
5000,5000,250,0,0.05,0,2999,2001,0,0,250,0.03868148667582621,0.03858370007947087,3.7440274814616684E-4
5000,5000,500,0,0.1,0,3513,1487,0,0,500,0.09029344001707311,0.09030539996456355,7.070807356888533E-4
5000,5000,750,0,0.15,0,3938,1062,0,0,750,0.16331469000239546,0.16312350006774068,0.001124980046288992
5000,5000,1000,0,0.2,0,4246,754,0,0,1000,0.2507212266714002,0.2514699000166729,0.005408067672290175
